,fornecedor_punido,qtd_media,Socio Laranja,Valor Total Homologado em 2017,Micro Empresa,Não Informado,Pequena Empresa,qtd_subclasses_cnae,Qtd dias inferior a 30,qtd_fornecedores,socio_com_ceis,VALIDO,prob_loja
0,False,96.0,0.0,100000.0,0,0,0,5.0,0.0,1.0,0.0,2.0,0.999984622001648
1,False,34.0,0.0,100000.0,0,0,0,5.0,0.0,1.0,0.0,7.0,0.9999881982803345
2,False,28.0,0.0,100000.0,0,0,0,5.0,0.0,1.0,0.0,1.0,0.998830258846283
3,False,23.0,0.0,100000.0,0,0,0,5.0,0.0,1.0,0.0,1.0,0.7737719416618347
4,False,25.0,0.0,76100.0,0,1,0,5.0,0.0,1.0,0.0,3.0,0.9999585747718811
5,False,56.0,0.0,2209631.47,0,1,0,5.0,0.0,1.0,0.0,7.0,1.0
6,False,10.0,0.0,375811.18,0,0,0,5.0,0.0,1.0,0.0,45.0,0.8800758123397827
7,False,13.5,0.0,100000.0,0,0,0,5.0,0.0,1.0,0.0,2.0,0.999972403049469
8,False,27.5,0.0,100000.0,0,0,0,3.0,0.0,1.0,0.0,1.0,0.08791885524988174
9,False,42.5,0.0,100000.0,0,0,0,5.0,0.0,1.0,0.0,1.0,1.0
10,False,22.5,22.0,4558.0,0,0,0,2.0,0.0,1.0,0.0,106.0,0.9983822703361511
11,False,34.5,0.0,100000.0,0,0,0,4.0,0.0,1.0,0.0,6.0,0.9999294877052307
12,False,13.5,0.0,100000.0,0,0,0,5.0,0.0,1.0,0.0,3.0,0.9991816282272339
13,False,28.5,0.0,343.56,0,0,0,5.0,0.0,1.0,0.0,2.0,0.003286522114649415
14,True,17.0,0.0,100000.0,0,0,0,5.0,0.0,1.0,0.0,24.0,0.8222299814224243
15,True,3.0,22.0,0.0,0,0,0,2.0,0.0,1.0,0.0,37.0,0.0011906798463314772
16,False,1371.5,0.0,130678.57,0,0,0,3.0,0.0,1.0,0.0,4.0,0.9997637271881104
17,True,22.5,11.0,100000.0,0,0,0,8.0,0.0,1.0,0.0,29.0,0.00228474591858685
18,False,12.5,0.0,100000.0,0,0,0,2.0,0.0,1.0,0.0,1.0,0.9187983870506287
19,False,69.0,0.0,100000.0,0,0,0,13.0,0.0,1.0,0.0,120.0,0.8489094376564026
20,False,17.5,0.0,100000.0,0,0,0,4.0,0.0,1.0,0.0,2.0,0.9301463961601257
21,False,68.0,0.0,1068806.0,0,0,0,13.0,0.0,1.0,0.0,11.0,0.06490808725357056
22,False,95.5,0.0,100000.0,0,0,0,2.0,0.0,1.0,0.0,25.0,0.226724311709404
23,False,8.5,0.0,100000.0,0,0,0,4.0,0.0,1.0,0.0,34.0,1.0
24,False,1.0,4.0,342000.0,1,0,0,9.0,0.0,1.0,0.0,6.0,0.06772282719612122
25,True,6.5,0.0,0.0,0,0,1,2.0,0.0,1.0,0.0,25.0,0.9996429681777954
26,False,233.5,0.0,100000.0,0,0,0,2.0,0.0,1.0,0.0,0.0,0.9992787837982178
27,False,17.0,0.0,100000.0,0,0,0,5.0,0.0,1.0,0.0,0.0,1.0
28,False,7.0,0.0,38499.0,0,0,0,5.0,0.0,1.0,0.0,49.0,0.01857929304242134
29,False,18.5,0.0,100000.0,0,0,0,5.0,0.0,2.0,0.0,2.0,0.2875411808490753
30,True,246.0,0.0,844142.02,0,0,0,11.0,0.0,1.0,0.0,52.0,0.9990702271461487
31,True,676.5,0.0,1260718.92,0,0,0,5.0,0.0,1.0,0.0,23.0,0.19886867702007294
32,False,111.5,0.0,28430.28,0,0,0,2.0,0.0,2.0,0.0,30.0,0.9999998211860657
33,True,162.5,0.0,77574.84,0,0,0,5.0,0.0,1.0,0.0,18.0,0.00020695594139397144
34,True,63.0,0.0,4500.0,0,0,0,5.0,0.0,1.0,0.0,1.0,0.616845428943634
35,True,121.0,0.0,10468.83,0,0,0,1.0,0.0,1.0,0.0,15.0,0.42977896332740784
36,True,280.5,0.0,13608.0,0,0,0,5.0,0.0,2.0,0.0,16.0,0.20577991008758545
37,False,44.5,0.0,46615.97,0,0,0,5.0,0.0,2.0,0.0,5.0,0.9999969005584717
38,True,28.5,0.0,0.0,0,0,0,5.0,0.0,1.0,0.0,5.0,0.0780455619096756
39,True,11.0,0.0,5434.2,0,0,0,5.0,0.0,1.0,0.0,5.0,0.8400561809539795
40,True,25.0,0.0,6600.0,0,0,0,5.0,0.0,1.0,0.0,2.0,0.9914348125457764
41,True,222.5,0.0,132326.16,0,0,0,1.0,0.0,2.0,0.0,26.0,0.9999985098838806
42,True,149.5,0.0,100000.0,0,0,0,2.0,0.0,1.0,0.0,5.0,0.9999807476997375
43,False,18.0,0.0,100000.0,0,0,0,5.0,0.0,1.0,0.0,1.0,0.00086086371447891
44,True,518.5,0.0,32121.64,0,0,0,1.0,0.0,1.0,0.0,8.0,0.9832283854484558
45,True,220.0,0.0,108559.11,0,0,0,5.0,0.0,1.0,0.0,14.0,0.9998576045036316
46,True,120.0,0.0,100000.0,0,0,0,1.0,0.0,1.0,0.0,61.0,0.13820232450962067
47,False,167.0,0.0,100000.0,0,0,0,5.0,0.0,1.0,0.0,2.0,0.9786020517349243
48,False,39.5,0.0,100000.0,0,0,0,5.0,0.0,1.0,0.0,6.0,0.29327985644340515
49,False,22.5,0.0,100000.0,0,0,0,5.0,0.0,1.0,0.0,1.0,0.999992311000824
50,False,33.5,0.0,100000.0,0,0,0,5.0,0.0,1.0,0.0,1.0,0.012175612151622772
51,True,17.0,0.0,100000.0,0,0,0,5.0,0.0,1.0,0.0,3.0,0.2519512474536896
52,False,14.0,0.0,100000.0,0,0,0,5.0,0.0,1.0,0.0,1.0,0.0036528424825519323
53,False,21.0,0.0,8400.0,0,0,0,5.0,0.0,1.0,0.0,1.0,0.001176787307485938
